id,date_start,type_of_violence,conflict_name,dyad_name,side_a,side_b,country,adm_1,adm_2,latitude,longitude,best,low,high,deaths_civilians,deaths_a,deaths_b,deaths_unknown,where_description,active_year,month
529811,2024-06-21,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.243849,37.61202,1,0,3,0,1,0,0,"Ocheretyne, Pokrovsk raion",True,2024-06
499514,2023-10-27,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.53001,37.96052,1,1,1,0,0,1,0,"near Klishchiivka near Bakhmut, Donetsk region.",True,2023-10
526522,2024-02-26,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,47.91591,37.45934,5,1,10,0,5,0,0,"Pobieda, Pokrovsk raion",True,2024-02
486888,2023-08-22,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kherson oblast,Kakhovka raion,46.81601,33.47862,2,2,2,0,0,2,0,Kakhovka direction,True,2023-08
485543,2023-08-08,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.53001,37.96052,2,2,140,0,2,0,0,"Bakhmut direction, Klishchiivka",True,2023-08
498516,2023-11-05,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Odessa oblast,Odessa raion,46.29914,30.65529,1,1,1,0,0,1,0,south of Ukraine / Odesa District	Chornomorska urban community	Chornomors'k,True,2023-11
430685,2022-03-02,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Mariupol raion,47.05706,37.308121,1,1,1,1,0,0,0,the town of Mangush,True,2022-03
553478,2024-05-15,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.53001,37.96052,1,1,1,0,0,1,0,"Georgievka, Kalinin, Kleshcheevka, Krasnogorovka, Nevelskoye, Razdolovka of the DPR /// Novgorodsky, Mayorsk, Semenovka and Umansky, Solovyovo, Ocheretino, Netaylovo and Keramik of the Donetsk People's Republic",True,2024-05
470478,2023-04-01,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kharkiv oblast,Kupiansk raion,49.85019,37.68262,1,1,1,1,0,0,0,"village of Dvorichna, Kupyan District, Kharkiv Oblast.",True,2023-04
538070,2024-08-25,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.221848,37.198509,2,2,2,0,2,0,0,"in the Pokrovsky district: Kalinove, Vozdvizhenka, Novooleksandrivka, Panteleimonivka, Zelene Pole, Myrolyubivka, Grodivka, Novogrodivka, Memryk, Mykhailivka, Karlivka",True,2024-08
